,Element Number,Section Number,Midpoint X,Midpoint Y,Midpoint Z,Relative Chord,Chordlength,Relative Radius,Element height,Element offset,Element area,Cp_suc,Cp_pres,Circular velocity,Pressure by Lift,Cl,Cd,Cf,Cf*dx,Viscous Drag,Total Drag,alpha
1,1,0,-6.232,53.97,0.186,0.023,34.967,0.131,6.098,-0.078,12.902,-0.91,0.322,22607.056,0.0003858810224480226,0.9620000000000001,0.018000000000000002,0.020234999999999996,0.0009363443871575642,3.7846384594759995e-06,7.275473982107018e-05,3.1449999999999996
2,2,1,-7.404,61.912,0.542,0.022,41.148,0.1503,5.071,-0.195,14.722,-0.91,0.322,25933.758,0.0005078042300412825,0.9620000000000001,0.018000000000000002,0.020235,0.0009004383227985177,5.465302636781291e-06,0.00010925284383312035,3.145
3,3,1,-8.573,69.856,0.883,0.022,47.551,0.1696,4.49,-0.256,16.603,-1.184,0.491,29261.027,0.0008790486903496329,1.056,0.017550000000000003,0.0188845,0.0008137337527840903,7.091067643255521e-06,0.00015293483490558184,4.131
4,4,2,-9.736,77.8,1.212,0.021,54.094,0.1888,3.876,-0.277,18.566,-1.184,0.491,32588.828,0.0010903634737959684,1.056,0.017550000000000003,0.0188845,0.0007939799097548001,9.596786061594133e-06,0.00021212576453350093,4.131
5,5,2,-10.899,85.745,1.533,0.021,60.736,0.2081,3.601,-0.279,20.599,-1.267,0.536,35916.803,0.0014254862352755843,1.08,0.01585,0.018367,0.0007578294064934694,1.2344740984019739e-05,0.00025819022450192946,4.449
6,6,2,-11.736,93.719,1.781,0.022,65.846,0.2275,3.436,-0.286,23.063,-1.267,0.536,39256.998,0.0017029498270688598,1.08,0.01585,0.018367,0.0007695631730566155,1.6767134934780333e-05,0.00034533758633577033,4.449
7,7,3,-11.519,101.782,1.8,0.023,65.058,0.247,3.395,-0.283,24.206,-1.267,0.536,42634.306,0.002008565809300817,1.08,0.01585,0.018367,0.0008092811306738912,2.182692286211795e-05,0.00042748646206107655,4.449
8,8,3,-11.382,109.871,1.819,0.023,64.275,0.2667,3.354,-0.279,23.985,-1.208,0.505,46022.613,0.0022235208480945027,1.0635,0.01375,0.01873875,0.0008272838858280463,2.5763369240249657e-05,0.000428204070116584,4.221
9,9,4,-11.242,117.96,1.834,0.023,63.493,0.2863,3.313,-0.276,23.704,-1.208,0.505,49410.833,0.002562966965814494,1.0635,0.01375,0.01873875,0.000828434265620964,2.9388416207256513e-05,0.0004877764472319182,4.221
10,10,4,-11.102,126.048,1.846,0.023,62.72,0.3059,3.273,-0.273,23.436,-1.102,0.444,52799.025,0.002642646264741312,1.0295,0.01205,0.019330499999999997,0.0008561659864645134,3.428939375103361e-05,0.00048260173988712984,3.8360000000000003
11,11,5,-10.963,134.137,1.858,0.023,61.955,0.3256,3.233,-0.269,23.174,-1.102,0.444,56187.197,0.0029926916377051704,1.0295,0.01205,0.019330499999999997,0.0008578106465726818,3.8471113234637925e-05,0.0005404187000121459,3.8360000000000003
12,12,5,-10.823,142.226,1.872,0.023,61.196,0.3452,3.193,-0.266,22.911,-1.102,0.444,59575.407,0.003364505651864506,1.0295,0.01205,0.0193305,0.0008593157347372535,4.2834414619919713e-05,0.0006006577970178252,3.8360000000000003
13,13,5,-10.684,150.314,1.884,0.023,60.417,0.3648,3.152,-0.263,22.646,-0.974,0.364,62963.586,0.003252869846314014,0.9850000000000001,0.0106,0.01995725,0.0008890233441911927,4.892600040467989e-05,0.0005833543153598831,3.378
14,14,6,-10.546,158.403,1.897,0.023,59.642,0.3845,3.112,-0.259,22.36,-0.974,0.364,66351.869,0.003612385528148525,0.9850000000000001,0.0106,0.019957249999999996,0.0008900196307617652,5.370889311766339e-05,0.0006396648426281985,3.3779999999999997
15,15,6,-10.409,166.492,1.91,0.023,58.871,0.4041,3.072,-0.256,22.074,-0.853,0.281,69740.16,0.0033816632716655456,0.941,0.00945,0.020456500000000002,0.0009132536087218335,6.010409345057589e-05,0.00062193423347418,2.9339999999999993
